"filename", "language", "HTML", "PostCSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\images\content5.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\images\content6.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\modalwindowalternativetestificate.html", "HTML", 92, 0, 0, 0, 0, 0, 21, 113
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\modalwindowtestificate.html", "HTML", 96, 0, 0, 0, 0, 0, 11, 107
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\news.html", "HTML", 162, 0, 0, 0, 0, 0, 14, 176
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\registration.html", "HTML", 52, 0, 0, 0, 0, 1, 7, 60
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\structure\footer.html", "HTML", 50, 0, 0, 0, 0, 0, 0, 50
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\structure\head.html", "HTML", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\structure\header.html", "HTML", 16, 0, 0, 0, 0, 0, 0, 16
"Total", "-", 1944, 4261, 143, 599, 150, 295, 1045, 8437
